id,agent_id,selling_agent_id,product_id,created_at,updated_at,deleted_at,date,full_name,unit_holder_id,current_nav,run_nav_value,beginning_unit,subscription_unit,redeem_unit,dividend_unit,ending_unit,capital,beginning_balance,ending_balance,profit_or_loss,profit_or_loss_in_percent,is_deleted
1000023309,10,10,2,2026-01-13 02:00:00,2026-01-13 02:00:00,,2026-01-12,Customer 0152,100152,1951.7354,1951.1304,141071.1362,22306.3362,0.0,0.0,163377.4724,308114982,275333530.499,318869596.5048,10754614.5,3.4905,False
1000011670,3,3,3,2026-01-26 02:00:00,2026-01-26 02:00:00,,2026-01-25,Customer 0077,100077,1327.6664,1327.8242,376392.434,0.0,0.0,0.0,376392.434,499002269.41,499723587.8738,499723587.8738,721318.46,0.1446,False
1000010382,8,8,5,2026-01-27 02:00:00,2026-01-27 02:00:00,,2026-01-26,Customer 0068,100068,1585.3081,1584.2732,90592.7631,0.0,0.0,0.0,90592.7631,146801043,143617441.1777,143617441.1777,-3183601.82,-2.1687,False
1000038827,2,2,3,2026-02-02 02:00:00,2026-02-02 02:00:00,,2026-02-01,Customer 0253,100253,1317.6762,1317.9684,287778.7501,0.0,0.0,0.0,287778.7501,381522678,379199209.9271,379199209.9271,-2323468.07,-0.609,False
1000057118,15,15,8,2026-02-03 02:00:00,2026-02-03 02:00:00,,2026-02-02,Customer 0377,100377,1200.5837,1200.6796,408292.8467,0.0,0.0,0.0,408292.8467,489951416,490189736.5346,490189736.5346,238320.53,0.0486,False
1000079768,11,11,2,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-17,Customer 0158,100158,1884.6429,1884.5774,262368.4729,0.0,0.0,0.0,262368.4729,492072071,496084313.1223,496084313.1223,4012242.12,0.8154,False
1000025038,12,12,10,2026-02-19 02:00:00,2026-02-19 02:00:00,,2026-02-18,Customer 0163,100163,1494.8386,1495.0783,14920.3191,0.0,0.0,0.0,14920.3191,26040433,22303468.979,22303468.979,-3736964.02,-14.3506,False
1000078922,8,8,4,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-19,Customer 0100,100100,1411.0591,1409.82,298731.5947,0.0,0.0,0.0,298731.5947,421435452,420273084.1853,420273084.1853,-1162367.81,-0.2758,False
1000065981,8,8,10,2026-01-07 02:00:00,2026-01-07 02:00:00,,2026-01-06,Customer 0435,100435,1677.5587,1676.5652,64592.5686,0.0,0.0,0.0,64592.5686,112733410,108357825.4318,108357825.4318,-4375584.57,-3.8814,False
1000057484,6,6,2,2026-02-09 02:00:00,2026-02-09 02:00:00,,2026-02-08,Customer 0381,100381,1840.7186,1839.7885,40437.1214,0.0,0.0,0.0,40437.1214,75757053,74433361.5576,74433361.5576,-1323691.44,-1.7473,False
