id,agent_id,selling_agent_id,product_id,created_at,updated_at,deleted_at,date,full_name,unit_holder_id,current_nav,run_nav_value,beginning_unit,subscription_unit,redeem_unit,dividend_unit,ending_unit,capital,beginning_balance,ending_balance,profit_or_loss,profit_or_loss_in_percent,is_deleted
1000034220,6,6,3,2026-01-20 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-19,Customer 0224,100224,1338.0639,1337.5411,271861.7002,0.0,0.0,0.0,271861.7002,360420649,363768326.7897,363768326.7897,3347677.79,0.9288,True
1000047985,9,9,7,2026-01-22 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-21,Customer 0317,100317,1088.3008,1088.0313,209015.6066,0.0,0.0,0.0,209015.6066,225789109,227471851.8454,227471851.8454,1682742.85,0.7453,True
1000043010,15,15,5,2026-01-03 02:00:00,2026-01-03 02:00:00,,2026-01-02,Customer 0281,100281,1600.7888,1601.3498,33534.6268,0.0,0.0,0.0,33534.6268,54341186,53681854.9955,53681854.9955,-659331.0,-1.2133,False
1000078479,11,11,8,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-18,Customer 0066,100066,1202.6628,1201.6053,9870.65,0.0,0.0,0.0,9870.65,11844780,11815849.2138,11815849.2138,-28930.79,-0.2442,False
1000041719,19,19,7,2026-01-17 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-16,Customer 0272,100272,1088.0861,1088.2701,87668.248,0.0,0.0,0.0,87668.248,94555070,95390602.0579,95390602.0579,835532.06,0.8836,True
1000021135,13,13,3,2026-01-13 02:00:00,2026-01-13 02:00:00,,2026-01-12,Customer 0143,100143,1320.7817,1319.7197,119239.5527,0.0,0.0,0.0,119239.5527,158081837,157489419.1303,157489419.1303,-592417.87,-0.3748,False
1000015561,15,15,5,2026-01-02 02:00:00,2026-01-02 02:00:00,,2026-01-01,Customer 0103,100103,1606.9984,1606.345,176271.113,0.0,0.0,0.0,176271.113,285638525,283267396.4969,283267396.4969,-2371128.5,-0.8301,False
1000005871,16,16,2,2026-01-09 02:00:00,2026-01-09 02:00:00,,2026-01-08,Customer 0034,100034,1984.5812,1984.3749,118341.0776,0.0,0.0,0.0,118341.0776,221948691,234857477.7516,234857477.7516,12908786.75,5.8161,False
1000001719,13,13,3,2026-01-18 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-17,Customer 0011,100011,1338.5588,1338.1528,373972.0098,0.0,0.0,0.0,373972.0098,495793392,500583524.6792,500583524.6792,4790132.68,0.9662,True
1000082616,13,13,7,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-18,Customer 0354,100354,1088.3085,1087.7545,283148.1416,0.0,0.0,0.0,283148.1416,305870780,309637371.8805,309637371.8805,3766591.88,1.2314,False
