id,agent_id,selling_agent_id,product_id,created_at,updated_at,deleted_at,date,full_name,unit_holder_id,current_nav,run_nav_value,beginning_unit,subscription_unit,redeem_unit,dividend_unit,ending_unit,capital,beginning_balance,ending_balance,profit_or_loss,profit_or_loss_in_percent,is_deleted
1000077570,6,6,1,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-16,Customer 0002,100002,2139.5053,2140.8437,108529.1616,0.0,0.0,0.0,108529.1616,233103334.15,232962867.1825,232962867.1825,-140466.97,-0.0603,False
1000063276,2,2,7,2026-03-10 02:00:00,2026-03-22 02:00:00,2026-03-22 02:00:00,2026-03-09,Customer 0419,100419,1098.8122,1099.3872,414803.4725,0.0,0.0,0.0,414803.4725,448546780,455791116.2229,455791116.2229,7244336.22,1.6151,True
1000008272,18,18,7,2026-01-23 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-22,Customer 0052,100052,1088.5258,1087.9614,254780.5721,25748.6704,0.0,0.0,280529.2425,303254805,277335226.0585,305363318.1046,2108513.1,0.6953,True
1000006914,20,20,8,2026-01-26 02:00:00,2026-01-26 02:00:00,,2026-01-25,Customer 0042,100042,1198.6591,1198.5562,311910.8163,0.0,0.0,0.0,311910.8163,374391131,373874738.3065,373874738.3065,-516392.69,-0.1379,False
1000000294,4,4,4,2026-01-25 02:00:00,2026-01-25 02:00:00,,2026-01-24,Customer 0003,100003,1430.3282,1429.8477,247902.8479,0.0,0.0,0.0,247902.8479,349603102,354582434.2053,354582434.2053,4979332.21,1.4243,False
1000026673,19,19,2,2026-02-14 02:00:00,2026-02-14 02:00:00,,2026-02-13,Customer 0172,100172,1750.2513,1750.5966,143199.2861,0.0,0.0,0.0,143199.2861,268652560,250634736.6289,250634736.6289,-18017823.37,-6.7067,False
1000018078,13,13,6,2026-03-16 02:00:00,2026-03-22 02:00:00,2026-03-22 02:00:00,2026-03-15,Customer 0120,100120,1072.1209,1072.5384,260213.0643,0.0,0.0,0.0,260213.0643,273357693.47,278979864.6612,278979864.6612,5622171.19,2.0567,True
1000073250,2,2,3,2026-01-26 02:00:00,2026-01-26 02:00:00,,2026-01-25,Institution 0480,100480,1327.6664,1326.8395,2181504.9714,0.0,0.0,0.0,2181504.9714,2887598695,2896310852.013,2896310852.013,8712157.01,0.3017,False
1000050380,18,18,7,2026-01-19 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-18,Customer 0332,100332,1088.3085,1088.068,165603.8832,0.0,0.0,0.0,165603.8832,178656764,180228113.7704,180228113.7704,1571349.77,0.8795,True
1000031240,12,12,2,2026-02-06 02:00:00,2026-02-06 02:00:00,,2026-02-05,Customer 0206,100206,1830.9863,1832.5568,189115.7039,0.0,0.0,0.0,189115.7039,354388392.35,346268262.9458,346268262.9458,-8120129.41,-2.2913,False
1000019296,16,16,4,2026-01-12 02:00:00,2026-01-12 02:00:00,,2026-01-11,Customer 0129,100129,1413.6482,1412.6268,158733.6413,0.0,0.0,0.0,158733.6413,223846181,224393526.342,224393526.342,547345.34,0.2445,False
1000070100,1,1,10,2026-02-16 02:00:00,2026-02-16 02:00:00,,2026-02-15,Customer 0461,100461,1432.9044,1431.6263,94378.302,0.0,0.0,0.0,94378.302,156896628,135235084.2137,135235084.2137,-21661543.79,-13.8063,False
1000060459,14,14,6,2026-01-22 02:00:00,2026-01-25 02:00:00,2026-01-25 02:00:00,2026-01-21,Customer 0398,100398,1054.519,1055.1861,200202.1758,0.0,0.0,279.0628,200481.2386,209851172,211116998.2649,211411275.2897,1560103.29,0.7434,True
1000070813,10,10,6,2026-03-21 02:00:00,2026-03-22 02:00:00,2026-03-22 02:00:00,2026-03-20,Customer 0465,100465,1073.6356,1073.8257,56007.0413,0.0,0.0,49.3503,56056.3916,58791141.68,60131153.3838,60184137.6227,1392995.94,2.3694,True
